jobcountry,country,sector,month,n_obs,posted_wage_growth_yoy,posted_wage_growth_yoy_3moavg
US,United States,Administrative Assistance,Jan-19,17293,0.035714286,NA
US,United States,Administrative Assistance,Feb-19,16580,0.043478261,NA
US,United States,Administrative Assistance,Mar-19,19043,0.041666667,0.040286404
US,United States,Administrative Assistance,Apr-19,19127,0.029970521,0.038371816
US,United States,Administrative Assistance,May-19,21542,0.045454545,0.039030578
US,United States,Administrative Assistance,Jun-19,18503,0.03125,0.035558355
US,United States,Administrative Assistance,Jul-19,17545,0.027549401,0.034751315
US,United States,Administrative Assistance,Aug-19,20729,0.035714286,0.031504562
US,United States,Administrative Assistance,Sep-19,16716,0.035732188,0.032998625
US,United States,Administrative Assistance,Oct-19,20347,0.027496013,0.032980829
US,United States,Administrative Assistance,Nov-19,17471,0.025740513,0.029656238
US,United States,Administrative Assistance,Dec-19,15667,0.029964401,0.027733642
US,United States,Administrative Assistance,Jan-20,24784,0.029061793,0.028255569
US,United States,Administrative Assistance,Feb-20,26767,0.027498531,0.028841575
US,United States,Administrative Assistance,Mar-20,19997,0.035714286,0.030758203
US,United States,Administrative Assistance,Apr-20,11049,0.055555556,0.039589457
US,United States,Administrative Assistance,May-20,20468,0.025,0.038756614
US,United States,Administrative Assistance,Jun-20,23584,0.02,0.033518519
US,United States,Administrative Assistance,Jul-20,29690,0.035446418,0.026815473
US,United States,Administrative Assistance,Aug-20,29440,0.038461538,0.031302652
US,United States,Administrative Assistance,Sep-20,29635,0.031373441,0.035093799
US,United States,Administrative Assistance,Oct-20,32162,0.037190709,0.03567523
US,United States,Administrative Assistance,Nov-20,23097,0.035598718,0.034720956
US,United States,Administrative Assistance,Dec-20,23195,0.036093023,0.03629415
US,United States,Administrative Assistance,Jan-21,33541,0.04,0.037230581
US,United States,Administrative Assistance,Feb-21,34048,0.045454545,0.040515856
US,United States,Administrative Assistance,Mar-21,42397,0.035714286,0.04038961
US,United States,Administrative Assistance,Apr-21,41288,0.04113618,0.040768337
US,United States,Administrative Assistance,May-21,44615,0.068965517,0.048605328
