jobcountry,country,month,posted_wage_growth_yoy,posted_wage_growth_yoy_3moavg
DE,Germany,19-Jan,0.028991597,NA
DE,Germany,19-Feb,0.044626068,NA
DE,Germany,19-Mar,0.037037037,0.0368849
DE,Germany,19-Apr,0.02524274,0.035635282
DE,Germany,19-May,0.036141105,0.032806961
DE,Germany,19-Jun,0.041666667,0.034350171
DE,Germany,19-Jul,0.025611215,0.034472996
DE,Germany,19-Aug,0.031589308,0.03295573
DE,Germany,19-Sep,0.017857143,0.025019222
DE,Germany,19-Oct,0.02524274,0.024896397
DE,Germany,19-Nov,0.036811201,0.026637028
DE,Germany,19-Dec,0,0.020684647
DE,Germany,20-Jan,0.019481341,0.018764181
DE,Germany,20-Feb,0.02272725,0.01406953
DE,Germany,20-Mar,0.020459205,0.020889266
DE,Germany,20-Apr,0.022727261,0.021971239
DE,Germany,20-May,0.001499987,0.014895485
DE,Germany,20-Jun,0.017227891,0.01381838
DE,Germany,20-Jul,0.009523823,0.009417234
DE,Germany,20-Aug,0.019230769,0.015327495
DE,Germany,20-Sep,0.003478258,0.010744283
DE,Germany,20-Oct,0.010294129,0.011001052
DE,Germany,20-Nov,0.011959532,0.008577306
DE,Germany,20-Dec,0.008936911,0.010396857
DE,Germany,21-Jan,0.016799298,0.012565247
DE,Germany,21-Feb,0.016666667,0.014134292
DE,Germany,21-Mar,0.018981999,0.017482654
DE,Germany,21-Apr,0.02,0.018549555
DE,Germany,21-May,0.034159024,0.024380341
DE,Germany,21-Jun,0.026540259,0.026899761
DE,Germany,21-Jul,0.032201127,0.030966803
DE,Germany,21-Aug,0.033333333,0.030691573
DE,Germany,21-Sep,0.033333333,0.032955931
DE,Germany,21-Oct,0.041666667,0.036111111
DE,Germany,21-Nov,0.03919193,0.038063977
DE,Germany,21-Dec,0.034653407,0.038504001
DE,Germany,22-Jan,0.043478261,0.039107866
DE,Germany,22-Feb,0.040816327,0.039649332
DE,Germany,22-Mar,0.03960401,0.041299532
DE,Germany,22-Apr,0.03960401,0.040008115
DE,Germany,22-May,0.046700802,0.041969607
DE,Germany,22-Jun,0.057771774,0.048025529
DE,Germany,22-Jul,0.056603774,0.053692117
DE,Germany,22-Aug,0.0625,0.058958516
DE,Germany,22-Sep,0.076237919,0.065113898
DE,Germany,22-Oct,0.070232569,0.069656829
DE,Germany,22-Nov,0.058201058,0.068223849
DE,Germany,22-Dec,0.060400009,0.062944545
DE,Germany,23-Jan,0.057692308,0.058764458
DE,Germany,23-Feb,0.058236434,0.05877625
DE,Germany,23-Mar,0.060606061,0.058844934
DE,Germany,23-Apr,0.064516129,0.061119541
DE,Germany,23-May,0.060606061,0.061909417
ES,Spain,19-Jan,0.020408163,NA
ES,Spain,19-Feb,0.037921421,NA
ES,Spain,19-Mar,0.023532669,0.027287418
ES,Spain,19-Apr,0.03125,0.030901363
ES,Spain,19-May,0.044554472,0.03311238
ES,Spain,19-Jun,0.047619048,0.041141173
ES,Spain,19-Jul,0.034482759,0.04221876
ES,Spain,19-Aug,0.059121388,0.047074398
ES,Spain,19-Sep,0.022803092,0.038802413
ES,Spain,19-Oct,0.047619048,0.043181176
ES,Spain,19-Nov,0.03125,0.033890713
ES,Spain,19-Dec,0.044290639,0.041053229
ES,Spain,20-Jan,0.010582307,0.028707649
ES,Spain,20-Feb,0.027130212,0.027334386
ES,Spain,20-Mar,0.024390244,0.020700921
ES,Spain,20-Apr,0.053515923,0.035012126
ES,Spain,20-May,0.036363636,0.038089935
ES,Spain,20-Jun,0.014383153,0.034754237
ES,Spain,20-Jul,0.017857143,0.022867977
ES,Spain,20-Aug,0.021098942,0.017779746
ES,Spain,20-Sep,0.032726551,0.023894212
ES,Spain,20-Oct,0.022202259,0.025342584
ES,Spain,20-Nov,0.028828264,0.027919025
ES,Spain,20-Dec,0.015512272,0.022180932
ES,Spain,21-Jan,0.038461538,0.027600692
